HUGO	Label	UNIPROT_KB_ID
EPHA5	LABEL	P54756
EPHA6	LABEL	Q9UF33
EPHA7	LABEL	Q15375
EPHA8	LABEL	P29322
EPHB1	LABEL	P54762
EPHB2	LABEL	P29323
EPHB3	LABEL	P54753
EPHB4	LABEL	P54760
EPHB6	LABEL	O15197
EPHX2	LABEL	P34913
EPRS	LABEL	P07814
EPX	LABEL	P11678
ERBB2	LABEL	P04626
ERBB3	LABEL	P21860
ERBB4	LABEL	Q15303
ERN1	LABEL	O75460
ERO1A	LABEL	Q96HE7
ERO1LB	LABEL	Q86YB8
ESD	LABEL	P10768
ESR1	LABEL	P03372
ESR2	LABEL	Q92731
ESRRA	LABEL	P11474
ESRRB	LABEL	O95718
ESRRG	LABEL	P62508
EWSR1	LABEL	Q01844
EZH2	LABEL	Q15910
F10	LABEL	P00742
F12	LABEL	P00748
F2	LABEL	P00734
F2R	LABEL	P25116
F2RL1	LABEL	P55085
F7	LABEL	P08709
F9	LABEL	P00740
FAAH	LABEL	O00519
FAAH2	LABEL	Q6GMR7
FABP4	LABEL	P15090
FABP6	LABEL	P51161
FADS1	LABEL	O60427
FADS2	LABEL	O95864
FAH	LABEL	P16930
FASN	LABEL	P49327
FBP1	LABEL	P09467
FCGR1A	LABEL	P12314
FDFT1	LABEL	P37268
FDPS	LABEL	P14324
FDXR	LABEL	P22570
FECH	LABEL	P22830
FES	LABEL	P07332
FFAR1	LABEL	O14842
FFAR2	LABEL	O15552
FFAR3	LABEL	O14843
FFAR4	LABEL	Q5NUL3
FGF1	LABEL	P05230
FGFR1	LABEL	P11362
FGFR2	LABEL	P21802
FGFR3	LABEL	P22607
FGFR4	LABEL	P22455
FGR	LABEL	P09769
FKBP1A	LABEL	P62942
FLI1	LABEL	Q01543
FLNA	LABEL	P21333
FLT1	LABEL	P17948
FLT3	LABEL	P36888
FLT4	LABEL	P35916
FNTA	LABEL	P49354
FNTB	LABEL	P49356
FOLH1	LABEL	Q04609
FOLR2	LABEL	P14207
FOLR3	LABEL	P41439
FOS	LABEL	P01100
FOXM1	LABEL	Q08050
FPGS	LABEL	Q05932
FPR1	LABEL	P21462
FPR2	LABEL	P25090
FRK	LABEL	P42685
FSHR	LABEL	P23945
FTCD	LABEL	O95954
FURIN	LABEL	P09958
FXYD2	LABEL	P54710
FYN	LABEL	P06241
G6PD	LABEL	P11413
GAA	LABEL	P10253
GABBR1	LABEL	Q9UBS5
GABBR2	LABEL	O75899
GABRA1	LABEL	P14867
GABRA2	LABEL	P47869
GABRA3	LABEL	P34903
GABRA4	LABEL	P48169
GABRA5	LABEL	P31644
GABRA6	LABEL	Q16445
GABRB1	LABEL	P18505
GABRB2	LABEL	P47870
GABRB3	LABEL	P28472
GABRD	LABEL	O14764
GABRE	LABEL	P78334
GABRG1	LABEL	Q8N1C3
GABRG2	LABEL	P18507
GABRG3	LABEL	Q99928
GABRP	LABEL	O00591
GABRQ	LABEL	Q9UN88
GABRR1	LABEL	P24046
GABRR2	LABEL	P28476
GABRR3	LABEL	A8MPY1
GAD1	LABEL	Q99259
GAD2	LABEL	Q05329
GADL1	LABEL	Q6ZQY3
GAK	LABEL	O14976
GALE	LABEL	Q14376
GAMT	LABEL	Q14353
GANAB	LABEL	Q14697
GANC	LABEL	Q8TET4
GAPDH	LABEL	P04406
GAPDHS	LABEL	O14556
GARS	LABEL	P41250
GART	LABEL	P22102
GAST	LABEL	P01350
GATB	LABEL	O75879
GATM	LABEL	P50440
GBA	LABEL	P04062
GBF1	LABEL	Q92538
GCAT	LABEL	O75600
GCDH	LABEL	Q92947
GCGR	LABEL	P47871
GCK	LABEL	P35557
GCLC	LABEL	P48506
GCLM	LABEL	P48507
GCSH	LABEL	P23434
GFER	LABEL	P55789
GGCX	LABEL	P38435
GGPS1	LABEL	O95749
GGT1	LABEL	P19440
GHR	LABEL	P10912
GHRHR	LABEL	Q02643
GHSR	LABEL	Q92847
GJA1	LABEL	P17302
GJA10	LABEL	Q969M2
GJA3	LABEL	Q9Y6H8
GJA4	LABEL	P35212
GJA5	LABEL	P36382
GJA8	LABEL	P48165
GJA9	LABEL	P57773
GJB1	LABEL	P08034
GJB2	LABEL	P29033
GJB3	LABEL	O75712
GJB4	LABEL	Q9NTQ9
GJB5	LABEL	O95377
GJB6	LABEL	O95452
GJB7	LABEL	Q6PEY0
GJC1	LABEL	P36383
GJC2	LABEL	Q5T442
GJC3	LABEL	Q8NFK1
GJD2	LABEL	Q9UKL4
GJD3	LABEL	Q8N144
GJD4	LABEL	Q96KN9
GJE1	LABEL	A6NN92
GLB1	LABEL	P16278
GLDC	LABEL	P23378
GLI1	LABEL	P08151
GLI2	LABEL	P10070
GLO1	LABEL	Q04760
GLP1R	LABEL	P43220
GLRA1	LABEL	P23415
GLRA2	LABEL	P23416
GLRA3	LABEL	O75311
GLRB	LABEL	P48167
GLRX	LABEL	P35754
GLRX2	LABEL	Q9NS18
GLS	LABEL	O94925
GLS2	LABEL	Q9UI32
GLUD1	LABEL	P00367
GLUD2	LABEL	P49448
GLUL	LABEL	P15104
GLYAT	LABEL	Q6IB77
GLYATL1	LABEL	Q969I3
GLYATL2	LABEL	Q8WU03
GMPS	LABEL	P49915
GNMT	LABEL	Q14749
GNRH1	LABEL	P01148
GNRHR	LABEL	P30968
GNRHR2	LABEL	Q96P88
GOT1	LABEL	P17174
GOT2	LABEL	P00505
GP9	LABEL	P14770
GPBAR1	LABEL	Q8TDU6
GPD1	LABEL	P21695
GPER1	LABEL	Q99527
GPI	LABEL	P06744
GPR119	LABEL	Q8TDV5
GPR12	LABEL	P47775
GPR139	LABEL	Q6DWJ6
GPR143	LABEL	P51810
GPR17	LABEL	Q13304
GPR18	LABEL	Q14330
GPR35	LABEL	Q9HC97
GPR39	LABEL	O43194
GPR55	LABEL	Q9Y2T6
GPR84	LABEL	Q9NQS5
GPR97	LABEL	Q86Y34
GPRC5A	LABEL	Q8NFJ5
GPRC6A	LABEL	Q5T6X5
GPT	LABEL	P24298
GPT2	LABEL	Q8TD30
GPX1	LABEL	P07203
GPX2	LABEL	P18283
GPX3	LABEL	P22352
GPX4	LABEL	P36969
GPX5	LABEL	O75715
GPX6	LABEL	P59796
GPX7	LABEL	Q96SL4
GPX8	LABEL	Q8TED1
GRIA1	LABEL	P42261
GRIA2	LABEL	P42262
GRIA3	LABEL	P42263
GRIA4	LABEL	P48058
GRID1	LABEL	Q9ULK0
GRID2	LABEL	O43424
GRIK1	LABEL	P39086
GRIK2	LABEL	Q13002
GRIK3	LABEL	Q13003
GRIK4	LABEL	Q16099
GRIK5	LABEL	Q16478
GRIN1	LABEL	Q05586
GRIN2A	LABEL	Q12879
GRIN2B	LABEL	Q13224
GRIN2C	LABEL	Q14957
GRIN2D	LABEL	O15399
GRIN3A	LABEL	Q8TCU5
GRIN3B	LABEL	O60391
GRM1	LABEL	Q13255
GRM2	LABEL	Q14416
GRM3	LABEL	Q14832
GRM4	LABEL	Q14833
GRM5	LABEL	P41594
GRM6	LABEL	O15303
GRM7	LABEL	Q14831
GRM8	LABEL	O00222
GRPR	LABEL	P30550
GSG2	LABEL	Q8TF76
GSK3A	LABEL	P49840
GSK3B	LABEL	P49841
GSR	LABEL	P00390
GSS	LABEL	P48637
GSTA1	LABEL	P08263
GSTA2	LABEL	P09210
GSTA3	LABEL	Q16772
GSTA4	LABEL	O15217
GSTA5	LABEL	Q7RTV2
GSTK1	LABEL	Q9Y2Q3
GSTM1	LABEL	P09488
GSTM2	LABEL	P28161
GSTM3	LABEL	P21266
GSTM4	LABEL	Q03013
GSTM5	LABEL	P46439
GSTO1	LABEL	P78417
GSTO2	LABEL	Q9H4Y5
GSTP1	LABEL	P09211
GSTT1	LABEL	P30711
GSTZ1	LABEL	O43708
GUCY1A2	LABEL	P33402
GUCY1A3	LABEL	Q02108
GUCY1B2	LABEL	O75343
GUCY1B3	LABEL	Q02153
GUCY2C	LABEL	P25092
H6PD	LABEL	O95479
HABP2	LABEL	Q14520
HADH	LABEL	Q16836
HADHA	LABEL	P40939
HAGH	LABEL	Q16775
HAO1	LABEL	Q9UJM8
HAO2	LABEL	Q9NYQ3
HAPLN1	LABEL	P10915
HAPLN3	LABEL	Q96S86
HAPLN4	LABEL	Q86UW8
HBA1	LABEL	P69905
HBB	LABEL	P68871
HBE1	LABEL	P02100
HBG1	LABEL	P69891
HCAR1	LABEL	Q9BXC0
